feature_week,rank_by_lifetime,domain,group_num,group_label,valid_cell_count,ft_cell_count,test_cell_count,lifetime_min,lifetime_median,lifetime_mean,lifetime_max,cells
w10,22,source,63,G63,2,0,0,11.051,13.0705,13.0705,15.09,"G63C3,G63C4"
w10,23,source,21,G21,3,0,0,12.086,13.414,14.116666666666667,16.85,"G21C2,G21C3,G21C4"
w10,24,source,61,G61,2,0,0,13.197,13.6415,13.6415,14.086,"G61C2,G61C4"
w10,25,source,13,G13,4,0,0,12.518,14.0365,15.10175,19.816,"G13C1,G13C2,G13C3,G13C4"
w10,26,source,41,G41,4,0,0,13.109,14.17,14.6125,17.001,"G41C1,G41C2,G41C3,G41C4"
w10,27,source,30,G30,3,0,0,10.181,14.36,14.397333333333334,18.651,"G30C2,G30C3,G30C4"
w10,28,source,29,G29,4,0,0,12.126,14.502500000000001,15.1175,19.339,"G29C1,G29C2,G29C3,G29C4"
w10,29,source,27,G27,4,0,0,12.384,14.8,15.10825,18.449,"G27C1,G27C2,G27C3,G27C4"
w10,30,source,20,G20,2,0,0,14.895,15.3025,15.3025,15.71,"G20C3,G20C4"
w10,31,source,25,G25,4,0,0,12.79,15.555,18.6595,30.738,"G25C1,G25C2,G25C3,G25C4"
w10,32,source,52,G52,4,0,0,14.085,15.965,15.8285,17.299,"G52C1,G52C2,G52C3,G52C4"
w10,33,source,16,G16,4,0,0,15.427,16.2175,16.16625,16.803,"G16C1,G16C2,G16C3,G16C4"
w10,34,source,37,G37,4,0,0,13.103,16.4515,16.2195,18.872,"G37C1,G37C2,G37C3,G37C4"
w10,35,source,10,G10,4,0,0,14.274,17.811500000000002,18.979,26.019,"G10C1,G10C2,G10C3,G10C4"
w10,36,source,17,G17,4,0,0,15.718,17.812,17.87625,20.163,"G17C1,G17C2,G17C3,G17C4"
w10,37,source,58,G58,4,0,0,14.008,18.1075,19.409,27.413,"G58C1,G58C2,G58C3,G58C4"
w10,38,source,12,G12,3,0,0,17.066,18.249,19.599,23.482,"G12C1,G12C3,G12C4"
w10,39,source,33,G33,4,0,0,16.815,18.3115,19.584,24.898,"G33C1,G33C2,G33C3,G33C4"
w10,40,source,8,G8,4,0,0,12.666,18.366,18.11075,23.045,"G8C1,G8C2,G8C3,G8C4"
w10,41,source,56,G56,4,0,0,15.793,18.7435,18.82775,22.031,"G56C1,G56C2,G56C3,G56C4"
w10,42,source,32,G32,4,0,0,16.929,18.817999999999998,18.77725,20.544,"G32C1,G32C2,G32C3,G32C4"
w10,43,target,43,G43,4,2,2,18.174,20.168,20.5765,23.796,"G43C1,G43C2,G43C3,G43C4"
w10,44,target,42,G42,4,2,2,15.626,20.377499999999998,21.14825,28.212,"G42C1,G42C2,G42C3,G42C4"
w10,45,target,18,G18,3,2,1,18.14,21.186,20.239333333333335,21.392,"G18C2,G18C3,G18C4"
w10,46,target,44,G44,4,2,2,13.902,22.2545,21.5965,27.975,"G44C1,G44C2,G44C3,G44C4"
w10,47,target,3,G3,4,2,2,18.319,22.6965,23.88025,31.809,"G3C1,G3C2,G3C3,G3C4"
w10,48,target,34,G34,4,2,2,19.617,22.7095,22.7985,26.158,"G34C1,G34C2,G34C3,G34C4"
w10,49,target,50,G50,4,2,2,17.418,24.434,24.813000000000002,32.966,"G50C1,G50C2,G50C3,G50C4"
w10,50,target,7,G7,4,2,2,22.278,24.801,27.30975,37.359,"G7C1,G7C2,G7C3,G7C4"
w10,51,target,59,G59,4,2,2,22.432,25.589,25.919249999999998,30.067,"G59C1,G59C2,G59C3,G59C4"
w10,52,target,4,G4,4,2,2,22.88,26.8115,26.858249999999998,30.93,"G4C1,G4C2,G4C3,G4C4"
w10,53,target,2,G2,4,2,2,24.14,27.223,26.7235,28.308,"G2C1,G2C2,G2C3,G2C4"
w10,54,target,54,G54,4,1,3,25.247,27.457,27.41575,29.502,"G54C1,G54C2,G54C3,G54C4"
w10,55,target,40,G40,4,1,3,27.979,28.455,29.0035,31.125,"G40C1,G40C2,G40C3,G40C4"
w10,56,target,49,G49,4,1,3,33.953,37.3795,36.7055,38.11,"G49C1,G49C2,G49C3,G49C4"
w10,57,target,57,G57,1,1,0,37.507,37.507,37.507,37.507,G57C3
w10,58,target,6,G6,3,1,2,35.971,38.443,40.03066666666666,45.678,"G6C1,G6C2,G6C4"
w10,59,target,26,G26,3,1,2,31.118,40.243,39.88066666666666,48.281,"G26C1,G26C2,G26C4"
w10,60,target,1,G1,2,1,1,32.002,40.462500000000006,40.462500000000006,48.923,"G1C1,G1C4"
